date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:31	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Aug%202023%2015:33:33%20GMT	http://www.vrlgroup.in/robots.txt		(from )
21:03:31	36460/36460	---M--	200	added ('OK')	text/html	date:Sun,%2027%20Aug%202023%2015:33:33%20GMT	http://www.vrlgroup.in/	F:/mywebsite11/1q/www.vrlgroup.in/index.html	(from )
21:03:32	161409/161409	---M-Z	200	added ('OK')	text/css	etag:%2280e83ca4ae8dd71:0%22	http://www.vrlgroup.in/assets/vendor/bootstrap/css/bootstrap.min.css	F:/mywebsite11/1q/www.vrlgroup.in/assets/vendor/bootstrap/css/bootstrap.min.css	(from http://www.vrlgroup.in/)
21:03:33	92208/92208	---M-Z	200	added ('OK')	text/css	etag:%220669a8ae8dd71:0%22	http://www.vrlgroup.in/assets/vendor/icofont/icofont.min.css	F:/mywebsite11/1q/www.vrlgroup.in/assets/vendor/icofont/icofont.min.css	(from http://www.vrlgroup.in/)
21:03:33	63235/63235	---M-Z	200	added ('OK')	text/css	etag:%220d937a7ae8dd71:0%22	http://www.vrlgroup.in/assets/vendor/boxicons/css/boxicons.min.css	F:/mywebsite11/1q/www.vrlgroup.in/assets/vendor/boxicons/css/boxicons.min.css	(from http://www.vrlgroup.in/)
21:03:34	25790/25790	---M--	200	added ('OK')	text/css	etag:%22af279c37d48dd71:0%22	http://www.vrlgroup.in/assets/css/style.css?a=125	F:/mywebsite11/1q/www.vrlgroup.in/assets/css/style76ce.css	(from http://www.vrlgroup.in/)
21:03:35	36479/36479	---M--	200	added ('OK')	text/html	date:Sun,%2027%20Aug%202023%2015:33:37%20GMT	http://www.vrlgroup.in/vrl_group_home.aspx	F:/mywebsite11/1q/www.vrlgroup.in/vrl_group_home.html	(from http://www.vrlgroup.in/)
21:03:36	5739/5739	---M-Z	200	added ('OK')	image/svg+xml	etag:%228031bcb3ae8dd71:0%22	http://www.vrlgroup.in/v4_images/VRLLOGO.svg	F:/mywebsite11/1q/www.vrlgroup.in/v4_images/VRLLOGO.svg	(from http://www.vrlgroup.in/)
21:03:36	14863/14863	---M--	200	added ('OK')	text/html	date:Sun,%2027%20Aug%202023%2015:33:39%20GMT	http://www.vrlgroup.in/our_history.aspx	F:/mywebsite11/1q/www.vrlgroup.in/our_history.html	(from http://www.vrlgroup.in/)
21:03:36	15164/15164	---M--	200	added ('OK')	text/html	date:Sun,%2027%20Aug%202023%2015:33:39%20GMT	http://www.vrlgroup.in/our_mission_vision.aspx	F:/mywebsite11/1q/www.vrlgroup.in/our_mission_vision.html	(from http://www.vrlgroup.in/)
